,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
58,002594.SZ,20210820,289.0,293.6,282.0,285.09,293.72,-8.630000000000052,-2.9382,247173.2,7084185.439
59,002594.SZ,20210819,283.66,298.68,278.57,293.72,283.66,10.060000000000002,3.5465,361671.79,10474777.9
60,002594.SZ,20210818,285.41,288.09,278.19,283.66,280.31,3.3500000000000227,1.1951,221723.02,6281190.851
61,002594.SZ,20210817,283.45,290.5,278.0,280.31,285.4,-5.089999999999975,-1.7835,272058.4,7713091.722
62,002594.SZ,20210816,297.0,297.0,285.0,285.4,300.02,-14.620000000000005,-4.873,305067.01,8815872.752
63,002594.SZ,20210813,303.0,312.5,297.99,300.02,308.98,-8.960000000000036,-2.8999,246906.46,7475335.873
64,002594.SZ,20210812,293.0,313.38,289.37,308.98,294.99,13.990000000000009,4.7425,382778.98,11687505.016
65,002594.SZ,20210811,289.0,298.83,286.16,294.99,292.0,2.990000000000009,1.024,263993.95,7742097.441
66,002594.SZ,20210810,293.56,302.31,282.0,292.0,293.55,-1.5500000000000114,-0.528,331035.16,9604456.927
67,002594.SZ,20210809,295.0,297.4,283.0,293.55,303.48,-9.930000000000007,-3.272,341620.79,9914944.523
68,002594.SZ,20210806,313.0,317.3,298.5,303.48,299.31,4.170000000000016,1.3932,453626.27,13945125.845
69,002594.SZ,20210805,300.7055,305.9503,294.5815,299.167,307.7885,-8.621500000000026,-2.8011,368822.91,11063466.319
70,002594.SZ,20210804,282.7331,307.7885,281.7241,307.7885,279.8059,27.98259999999999,10.0007,534306.39,16003136.931
71,002594.SZ,20210803,298.7074,298.7074,274.7409,279.8059,290.8951,-11.089200000000005,-3.8121,489348.53,13975748.744
72,002594.SZ,20210802,275.7299,290.8951,273.0326,290.8951,264.451,26.44409999999999,9.9996,622259.03,17648921.236
73,002594.SZ,20210730,256.9383,268.0375,251.8833,264.451,256.9483,7.502700000000004,2.9199,457993.99,11995907.836
74,002594.SZ,20210729,246.6984,257.0482,242.5824,256.9483,236.2686,20.679700000000025,8.7526,428851.05,10764228.893
75,002594.SZ,20210728,229.765,240.8641,223.7708,236.2686,238.4764,-2.20780000000002,-0.9258,332198.63,7758094.419
76,002594.SZ,20210727,245.7593,257.6277,236.9679,238.4764,248.3068,-9.830399999999997,-3.959,377707.2,9406136.905
77,002594.SZ,20210726,250.3348,259.4859,240.7742,248.3068,258.4269,-10.12009999999998,-3.916,404428.24,10130659.972
78,002594.SZ,20210723,247.1979,261.7436,244.8402,258.4269,248.7164,9.710499999999996,3.9042,460562.27,11846110.496
79,002594.SZ,20210722,246.059,249.1959,239.935,248.7164,240.994,7.722399999999993,3.2044,374773.27,9242619.143
80,002594.SZ,20210721,230.9738,244.7503,229.7849,240.994,227.2774,13.7166,6.0352,471511.19,11232169.397
81,002594.SZ,20210720,219.7847,229.2355,218.8956,227.2774,223.7509,3.5264999999999986,1.5761,246749.66,5582671.898
82,002594.SZ,20210719,219.7847,231.763,214.0903,223.7509,222.7019,1.0490000000000066,0.471,372187.23,8367318.503
83,002594.SZ,20210716,235.5193,235.5193,220.8137,222.7019,236.1687,-13.466800000000006,-5.7022,562741.48,12801309.443
84,002594.SZ,20210715,238.7661,243.3117,229.775,236.1687,245.05,-8.88130000000001,-3.6243,551898.67,13026880.866
85,002594.SZ,20210714,260.7446,260.7446,244.7603,245.05,264.8406,-19.790599999999984,-7.4726,612716.86,15300069.25
86,002594.SZ,20210713,266.2292,269.4661,259.9654,264.8406,266.2193,-1.3786999999999807,-0.5179,277313.91,7330680.655
87,002594.SZ,20210712,253.0522,272.643,251.2539,266.2193,248.5765,17.642799999999966,7.0975,560057.08,14759940.06
88,002594.SZ,20210709,250.6345,254.7405,241.6433,248.5765,251.7135,-3.1370000000000005,-1.2463,364946.99,9057948.774
89,002594.SZ,20210708,252.7524,261.2841,250.8743,251.7135,254.8404,-3.126899999999978,-1.227,393909.95,10127585.813
90,002594.SZ,20210707,243.7613,258.347,240.6443,254.8404,250.2549,4.585499999999996,1.8323,386386.56,9711793.849
91,002594.SZ,20210706,254.7505,260.7646,240.7642,250.2549,249.3058,0.9490999999999872,0.3807,517916.7,13098186.044
92,002594.SZ,20210705,235.809,249.7554,235.3395,249.3058,238.8061,10.499700000000018,4.3967,324901.16,7984671.152
93,002594.SZ,20210702,232.772,243.2617,228.666,238.8061,236.3685,2.437599999999975,1.0313,374260.13,8897622.556
94,002594.SZ,20210701,250.7544,252.2529,235.3695,236.3685,250.7544,-14.385899999999992,-5.737,422602.87,10182009.938
95,002594.SZ,20210630,249.7554,256.249,245.7593,250.7544,253.0522,-2.297799999999995,-0.908,285407.31,7146112.745
96,002594.SZ,20210629,257.1481,259.346,249.7554,253.0522,253.3818,-0.3295999999999992,-0.1301,306257.54,7778037.778
97,002594.SZ,20210628,244.7503,254.7505,243.2817,253.3818,244.7503,8.631499999999988,3.5267,347271.98,8732379.669
98,002594.SZ,20210625,246.7583,248.4167,237.7671,244.7503,244.6504,0.09990000000001942,0.0408,296502.36,7205570.873
99,002594.SZ,20210624,243.7613,251.6236,239.945,244.6504,243.0619,1.588499999999982,0.6535,312285.04,7696250.339
100,002594.SZ,20210623,232.772,249.5556,232.2725,243.0619,237.6472,5.4147000000000105,2.2785,394500.6,9605891.907
101,002594.SZ,20210622,242.7622,246.7583,235.7691,237.6472,242.3426,-4.6954000000000065,-1.9375,316428.08,7571777.59
102,002594.SZ,20210621,243.6414,249.3158,231.9029,242.3426,244.7603,-2.4176999999999964,-0.9878,430526.35,10400538.802
103,002594.SZ,20210618,235.7691,252.0731,234.4204,244.7603,231.8729,12.887400000000014,5.558,571896.01,13931101.474
104,002594.SZ,20210617,210.7536,231.8729,210.6237,231.8729,210.7935,21.079399999999993,10.0,519977.58,11627218.257
105,002594.SZ,20210616,225.7789,231.4333,210.4539,210.7935,232.0927,-21.299200000000013,-9.177,618175.9,13579272.747
106,002594.SZ,20210615,231.3134,237.5673,224.65,232.0927,226.7979,5.294800000000009,2.3346,518100.75,12090497.119
107,002594.SZ,20210611,214.0903,229.725,211.8725,226.7979,213.9005,12.897400000000005,6.0296,540085.11,11985830.243
108,002594.SZ,20210610,201.8523,215.8386,200.8033,213.9005,201.8023,12.098199999999991,5.9951,441000.32,9339300.343
109,002594.SZ,20210609,202.7015,203.3009,196.8272,201.8023,202.6116,-0.8093000000000075,-0.3994,316555.82,6342951.329
110,002594.SZ,20210608,193.8102,205.3988,193.0609,202.6116,190.1637,12.447900000000004,6.5459,559238.56,11191285.973
111,002594.SZ,20210607,190.8131,192.6813,186.817,190.1637,189.2147,0.9490000000000123,0.5015,254518.02,4842637.639
112,002594.SZ,20210604,181.4323,191.8121,180.3434,189.2147,183.7201,5.494599999999991,2.9907,319848.39,6004827.146
113,002594.SZ,20210603,186.4174,187.3165,180.0037,183.7201,186.3175,-2.5973999999999933,-1.3941,250800.57,4608194.8
114,002594.SZ,20210602,189.8141,191.6623,185.0188,186.3175,189.2746,-2.957099999999997,-1.5623,294349.64,5527643.767
115,002594.SZ,20210601,178.5551,190.7132,178.5551,189.2746,178.5251,10.749499999999983,6.0213,513604.12,9530431.696
116,002594.SZ,20210531,175.0885,178.9347,170.0135,178.5251,181.5022,-2.9770999999999788,-1.6403,437553.16,7660152.24
117,002594.SZ,20210528,177.2764,184.819,175.8977,181.5022,177.2764,4.2257999999999925,2.3837,371194.87,6754993.796
118,002594.SZ,20210527,178.8249,179.5042,174.3293,177.2764,175.9976,1.2787999999999897,0.7266,234026.1,4146048.38
119,002594.SZ,20210526,177.8258,184.3994,175.8278,175.9976,176.3473,-0.34969999999998436,-0.1983,345577.99,6206769.477
120,002594.SZ,20210525,174.8288,177.8258,172.531,176.3473,173.3003,3.046999999999997,1.7582,331522.87,5830353.651
121,002594.SZ,20210524,171.7418,175.3283,169.8137,173.3003,173.0305,0.2698000000000036,0.1559,271722.87,4685927.113
122,002594.SZ,20210521,173.8397,177.8158,169.9336,173.0305,172.7708,0.25969999999998095,0.1503,334965.51,5822862.674
123,002594.SZ,20210520,169.8337,177.3863,168.9345,172.7708,172.6109,0.1599000000000217,0.0926,499888.48,8686052.329
124,002594.SZ,20210519,159.7435,173.8297,159.7236,172.6109,158.5447,14.06619999999998,8.8721,596490.87,10150054.899
125,002594.SZ,20210518,159.8434,161.6417,156.7265,158.5447,159.6237,-1.0790000000000077,-0.676,194952.12,3094498.22
126,002594.SZ,20210517,155.2779,160.7226,154.2989,159.6237,153.3798,6.243900000000025,4.0709,363002.56,5761021.601
127,002594.SZ,20210514,147.7553,153.9492,146.1668,153.3798,148.8442,4.535599999999988,3.0472,300278.66,4532481.587
128,002594.SZ,20210513,150.6025,150.8523,148.4146,148.8442,153.5796,-4.7353999999999985,-3.0834,212696.09,3180710.318
129,002594.SZ,20210512,148.1149,154.8483,148.1149,153.5796,146.4166,7.163000000000011,4.8922,384659.14,5872804.588
130,002594.SZ,20210511,143.5594,148.6144,140.8321,146.4166,146.8562,-0.43960000000001287,-0.2993,269639.96,3893703.682
131,002594.SZ,20210510,143.8091,148.2048,141.3016,146.8562,143.8091,3.0471000000000004,2.1189,260738.75,3802268.898
132,002594.SZ,20210507,147.9751,149.8133,143.2497,143.8091,149.8532,-6.044099999999986,-4.0333,377980.38,5528741.179
133,002594.SZ,20210506,156.8464,156.8464,149.8532,149.8532,158.4148,-8.561600000000027,-5.4045,423158.08,6423783.465
134,002594.SZ,20210430,161.332,162.0413,156.5567,158.4148,162.7906,-4.375799999999998,-2.688,359899.14,5715463.804
